Time,Requests/s,Requests/hour
2018-01-19T09:16:42.000Z,545.2711747,1962976.2
2018-01-19T10:16:42.000Z,530.16864,1908607.1
2018-01-19T11:16:42.000Z,510.8003738,1838881.4
2018-01-19T12:16:42.000Z,493.7240574,1777406.6
2018-01-19T13:16:42.000Z,539.2581028,1941329.2
2018-01-19T14:16:42.000Z,547.2038403,1969933.8
2018-01-19T15:16:42.000Z,521.1816866,1876254.1
2018-01-19T16:16:42.000Z,494.6091352,1780592.9
2018-01-19T17:16:42.000Z,437.5340893,1575122.7
2018-01-19T18:16:42.000Z,398.7332849,1435439.8
2018-01-19T19:16:42.000Z,373.394703,1344220.9
2018-01-19T20:16:42.000Z,352.3379514,1268416.6
2018-01-19T21:16:42.000Z,376.9942626,1357179.4
2018-01-19T22:16:42.000Z,298.8209557,1075755.4
2018-01-19T23:16:42.000Z,258.8685557,931926.8
2018-01-20T00:16:42.000Z,242.7924465,874052.8
2018-01-20T01:16:42.000Z,218.4650312,786474.1
2018-01-20T02:16:42.000Z,215.9349023,777365.7
2018-01-20T03:16:42.000Z,223.3969913,804229.2
2018-01-20T04:16:42.000Z,193.9784882,698322.6
2018-01-20T05:16:42.000Z,193.4622447,696464.1
2018-01-20T06:16:42.000Z,202.4287401,728743.5
2018-01-20T07:16:42.000Z,196.8411662,708628.2
2018-01-20T08:16:42.000Z,197.401649,710645.9
2018-01-20T09:16:42.000Z,215.509052,775832.6
2018-01-20T10:16:42.000Z,263.7983779,949674.2
2018-01-20T11:16:42.000Z,238.5999647,858959.9
2018-01-20T12:16:42.000Z,232.4630138,836866.9
2018-01-20T13:16:42.000Z,249,896400.0
2018-01-20T14:16:42.000Z,250.1071069,900385.6
2018-01-20T15:16:42.000Z,256.5333333,923520.0
2018-01-20T16:16:42.000Z,274.7982128,989273.6
2018-01-20T17:16:42.000Z,249.3979779,897832.7
2018-01-20T18:16:42.000Z,275.453334,991632.0
2018-01-20T19:16:42.000Z,251.8017423,906486.3
2018-01-20T20:16:42.000Z,259.3333333,933600.0
2018-01-20T21:16:42.000Z,235.6134537,848208.4
2018-01-20T22:16:42.000Z,218.3984312,786234.4
2018-01-20T23:16:42.000Z,222.8097353,802115.1
2018-01-21T00:16:42.000Z,210.1333333,756480.0
2018-01-21T01:16:42.000Z,211.3969113,761028.9
2018-01-21T02:16:42.000Z,188.2622625,677744.2
2018-01-21T03:16:42.000Z,182.7521711,657907.8
2018-01-21T04:16:42.000Z,188.2654845,677755.7
2018-01-21T05:16:42.000Z,184.3347023,663604.9
2018-01-21T06:16:42.000Z,186.3303513,670789.3
2018-01-21T07:16:42.000Z,176.6898232,636083.4
2018-01-21T08:16:42.000Z,191.0666667,687840.0
2018-01-21T09:16:42.000Z,211.3731956,760943.5
2018-01-21T10:16:42.000Z,216.2833325,778620.0
2018-01-21T11:16:42.000Z,219.3233271,789564.0
2018-01-21T12:16:42.000Z,227.7335202,819840.7
2018-01-21T13:16:42.000Z,239.2663113,861358.7
2018-01-21T14:16:42.000Z,237.1352046,853686.7
2018-01-21T15:16:42.000Z,271.1940671,976298.6
2018-01-21T16:16:42.000Z,257.8279763,928180.7
2018-01-21T17:16:42.000Z,271.068649,975847.1
2018-01-21T18:16:42.000Z,256.6935354,924096.7
2018-01-21T19:16:42.000Z,259.2782532,933401.7
2018-01-21T20:16:42.000Z,256.0142886,921651.4
2018-01-21T21:16:42.000Z,240.8930463,867215.0
2018-01-21T22:16:42.000Z,233.2620359,839743.3
2018-01-21T23:16:42.000Z,224.7368536,809052.7
2018-01-22T00:16:42.000Z,205.9280761,741341.1
2018-01-22T01:16:42.000Z,221.6837695,798061.6
2018-01-22T02:16:42.000Z,245.2018537,882726.7
2018-01-22T03:16:42.000Z,260.0001025,936000.4
2018-01-22T04:16:42.000Z,268.5980046,966952.8
2018-01-22T05:16:42.000Z,273.3516654,984066.0
2018-01-22T06:16:42.000Z,313.2686668,1127767.2
2018-01-22T07:16:42.000Z,369.7330591,1331039.0
2018-01-22T08:16:42.000Z,441.3998853,1589039.6
2018-01-22T09:16:42.000Z,536.4033252,1931052.0
2018-01-22T10:16:42.000Z,590.6158087,2126216.9
2018-01-22T11:16:42.000Z,559.0001605,2012400.6
2018-01-22T12:16:42.000Z,532.0898894,1915523.6
2018-01-22T13:16:42.000Z,565.0122168,2034044.0
2018-01-22T14:16:42.000Z,636.2672874,2290562.2
2018-01-22T15:16:42.000Z,622.9333333,2242560.0
2018-01-22T16:16:42.000Z,581.80666,2094504.0
2018-01-22T17:16:42.000Z,509.3963202,1833826.8
2018-01-22T18:16:42.000Z,446.0316238,1605713.9
2018-01-22T19:16:42.000Z,440.1333333,1584480.0
2018-01-22T20:16:42.000Z,425.8119197,1532922.9
2018-01-22T21:16:42.000Z,398.4,1434240.0
2018-01-22T22:16:42.000Z,392.9333333,1414560.0
2018-01-22T23:16:42.000Z,328.7333333,1183440.0
2018-01-23T00:16:42.000Z,289.8,1043280.0
2018-01-23T01:16:42.000Z,280.9333333,1011360.0
2018-01-23T02:16:42.000Z,298.9976046,1076391.4
2018-01-23T03:16:42.000Z,297.8116249,1072121.9
2018-01-23T04:16:42.000Z,310.2,1116720.0
2018-01-23T05:16:42.000Z,332.0267929,1195296.5
2018-01-23T06:16:42.000Z,363.3778182,1308160.2
2018-01-23T07:16:42.000Z,398.8,1435680.0
2018-01-23T08:16:42.000Z,484.0666667,1742640.0
2018-01-23T09:16:42.000Z,571.5960803,2057745.9
2018-01-23T10:16:42.000Z,586.0044447,2109616.0
2018-01-23T11:16:42.000Z,564.3921739,2031811.8
2018-01-23T12:16:42.000Z,580.8961606,2091226.2
2018-01-23T13:16:42.000Z,637.6,2295360.0
2018-01-23T14:16:42.000Z,617.4,2222640.0
2018-01-23T15:16:42.000Z,652.4666667,2348880.0
2018-01-23T16:16:42.000Z,624.4666667,2248080.0
2018-01-23T17:16:42.000Z,524.3602259,1887696.8
2018-01-23T18:16:42.000Z,474.915755,1709696.7
2018-01-23T19:16:42.000Z,453.0713747,1631057.0
2018-01-23T20:16:42.000Z,437.336898,1574412.8
2018-01-23T21:16:42.000Z,405.1066793,1458384.1
2018-01-23T22:16:42.000Z,374.464369,1348071.7
2018-01-23T23:16:42.000Z,324.0262777,1166494.6
2018-01-24T00:16:42.000Z,300.9360053,1083369.6
2018-01-24T01:16:42.000Z,289.9372758,1043774.2
2018-01-24T02:16:42.000Z,309.5973202,1114550.4
2018-01-24T03:16:42.000Z,309.5265916,1114295.7
2018-01-24T04:16:42.000Z,304.398538,1095834.7
