hour,totalConsumption,group1,group2,group3,group4,group5
706,26158, 0,0,0,1353,24805
707,26126, 0,0,0,1328,24798
708,26222, 0,0,0,1413,24809
709,26173, 0,0,0,1317,24856
710,26199, 0,0,0,1426,24773
711,26357, 0,0,0,1485,24872
712,26188, 0,0,0,1421,24767
713,26306, 0,0,0,1374,24932
714,26280, 0,0,0,1472,24808
715,26337, 0,0,0,1374,24963
716,26298, 0,0,0,1396,24902
717,26161, 0,0,0,1377,24784
718,26303, 0,0,0,1397,24906
719,26144, 0,0,0,1388,24756
720,26133, 0,0,0,1329,24804
721,26438, 0,0,0,1492,24946
722,26340, 0,0,0,1499,24841
723,26206, 0,0,0,1344,24862
724,26316, 0,0,0,1361,24955
725,26304, 0,0,0,1361,24943
726,26372, 0,0,0,1513,24859
727,26349, 0,0,0,1512,24837
728,26095, 0,0,0,1350,24745
729,26125, 0,0,0,1375,24750
730,26069, 0,0,0,1303,24766
731,26302, 0,0,0,1315,24987
732,26045, 0,0,0,1302,24743
733,26382, 0,0,0,1353,25029
734,26465, 0,0,0,1411,25054
735,26326, 0,0,0,1504,24822
736,26433, 0,0,0,1448,24985
737,26322, 0,0,0,1548,24774
738,26291, 0,0,0,1529,24762
739,26285, 0,0,0,1460,24825
740,26241, 0,0,0,1442,24799
741,26356, 0,0,0,1448,24908
742,26144, 0,0,0,1334,24810
743,26489, 0,0,0,1543,24946
744,26256, 0,0,0,1394,24862
745,26270, 0,0,0,1459,24811
746,26167, 0,0,0,1414,24753
747,26149, 0,0,0,1388,24761
748,26148, 0,0,0,1318,24830
749,26311, 0,0,0,1397,24914
750,26318, 0,0,0,1423,24895
751,26330, 0,0,0,1423,24907
752,26303, 0,0,0,1461,24842
753,26514, 0,0,0,1578,24936
754,26107, 0,0,0,1305,24802
755,26599, 0,0,0,1583,25016
756,26342, 0,0,0,1550,24792
757,26359, 0,0,0,1335,25024
758,26148, 0,0,0,1376,24772
759,26251, 0,0,0,1313,24938
760,26414, 0,0,0,1372,25042
761,26421, 0,0,0,1405,25016
762,26307, 0,0,0,1342,24965
763,26408, 0,0,0,1553,24855
764,26246, 0,0,0,1312,24934
765,26344, 0,0,0,1505,24839
766,26296, 0,0,0,1503,24793
767,26273, 0,0,0,1371,24902
768,26305, 0,0,0,1485,24820
769,26305, 0,0,0,1497,24808
770,26244, 0,0,0,1424,24820
771,26222, 0,0,0,1480,24742
772,26256, 0,0,0,1470,24786
773,26239, 0,0,0,1469,24770
774,26336, 0,0,0,1463,24873
775,0, 0,0,0,0,0
776,0, 0,0,0,0,0
777,0, 0,0,0,0,0
778,0, 0,0,0,0,0
779,0, 0,0,0,0,0
780,0, 0,0,0,0,0
781,0, 0,0,0,0,0
782,0, 0,0,0,0,0
783,0, 0,0,0,0,0
784,0, 0,0,0,0,0
785,0, 0,0,0,0,0
786,0, 0,0,0,0,0
787,0, 0,0,0,0,0
788,0, 0,0,0,0,0
789,0, 0,0,0,0,0
790,0, 0,0,0,0,0
791,0, 0,0,0,0,0
792,0, 0,0,0,0,0
793,0, 0,0,0,0,0
794,0, 0,0,0,0,0
795,0, 0,0,0,0,0
796,0, 0,0,0,0,0
797,0, 0,0,0,0,0
798,0, 0,0,0,0,0
799,0, 0,0,0,0,0
800,4541, 0,2312,0,0,2229
801,4285, 0,2192,0,0,2093
802,4627, 0,2367,0,0,2260
803,4643, 0,2375,0,0,2268
804,4406, 0,2254,0,0,2152
805,4456, 0,2280,0,0,2176
806,4656, 0,2382,0,0,2274
807,4368, 0,2299,0,0,2069
808,4451, 0,2277,0,0,2174
809,4485, 0,2295,0,0,2190
810,4359, 0,2294,0,0,2065
811,4339, 0,2209,0,0,2130
812,4344, 0,2286,0,0,2058
813,4426, 0,2213,0,0,2213
814,4224, 0,2180,0,0,2044
815,4191, 0,2187,0,0,2004
816,4297, 0,2242,0,0,2055
817,4261, 0,2188,0,0,2073
818,4337, 0,2219,0,0,2118
819,4200, 0,2178,0,0,2022
820,4267, 0,2183,0,0,2084
821,4326, 0,2213,0,0,2113
822,4377, 0,2216,0,0,2161
823,4205, 0,2194,0,0,2011
824,4361, 0,2251,0,0,2110
825,4284, 0,2228,0,0,2056
826,4568, 0,2284,0,0,2284
827,4286, 0,2286,0,0,2000
828,4504, 0,2252,0,0,2252
829,4570, 0,2338,0,0,2232
830,4552, 0,2329,0,0,2223
831,4398, 0,2250,0,0,2148
832,4483, 0,2187,0,0,2296
833,4500, 0,2250,0,0,2250
834,4367, 0,2298,0,0,2069
835,4420, 0,2210,0,0,2210
836,4364, 0,2182,0,0,2182
837,4423, 0,2300,0,0,2123
838,4294, 0,2281,0,0,2013
839,4387, 0,2289,0,0,2098
840,4387, 0,2289,0,0,2098
841,4340, 0,2170,0,0,2170
842,4363, 0,2209,0,0,2154
843,4331, 0,2193,0,0,2138
844,4400, 0,2251,0,0,2149
845,4369, 0,2255,0,0,2114
846,4256, 0,2240,0,0,2016
847,4336, 0,2212,0,0,2124
848,4260, 0,2215,0,0,2045
849,4291, 0,2231,0,0,2060
850,4303, 0,2249,0,0,2054
851,4400, 0,2251,0,0,2149
852,4300, 0,2263,0,0,2037
853,4344, 0,2231,0,0,2113
854,4359, 0,2212,0,0,2147
855,4207, 0,2171,0,0,2036
856,4359, 0,2250,0,0,2109
857,4392, 0,2196,0,0,2196
858,4404, 0,2318,0,0,2086
859,4364, 0,2222,0,0,2142
860,4545, 0,2314,0,0,2231
861,4561, 0,2322,0,0,2239
862,4520, 0,2301,0,0,2219
863,4408, 0,2320,0,0,2088
864,4449, 0,2265,0,0,2184
865,4172, 0,2169,0,0,2003
866,4262, 0,2195,0,0,2067
867,4177, 0,2175,0,0,2002
868,4203, 0,2191,0,0,2012
869,4205, 0,2175,0,0,2030
870,4250, 0,2207,0,0,2043
871,4220, 0,2167,0,0,2053
872,0, 0,0,0,0,0
873,0, 0,0,0,0,0
874,0, 0,0,0,0,0
875,0, 0,0,0,0,0
876,0, 0,0,0,0,0
877,0, 0,0,0,0,0
878,0, 0,0,0,0,0
879,0, 0,0,0,0,0
880,0, 0,0,0,0,0
881,0, 0,0,0,0,0
882,0, 0,0,0,0,0
883,0, 0,0,0,0,0
884,0, 0,0,0,0,0
885,0, 0,0,0,0,0
886,0, 0,0,0,0,0
887,0, 0,0,0,0,0
888,0, 0,0,0,0,0
889,0, 0,0,0,0,0
890,0, 0,0,0,0,0
891,0, 0,0,0,0,0
892,0, 0,0,0,0,0
893,0, 0,0,0,0,0
894,0, 0,0,0,0,0
895,0, 0,0,0,0,0
896,0, 0,0,0,0,0
897,0, 0,0,0,0,0
898,0, 0,0,0,0,0
899,0, 0,0,0,0,0
900,0, 0,0,0,0,0
901,0, 0,0,0,0,0
902,0, 0,0,0,0,0
903,0, 0,0,0,0,0
904,0, 0,0,0,0,0
905,0, 0,0,0,0,0
906,0, 0,0,0,0,0
907,0, 0,0,0,0,0
908,0, 0,0,0,0,0
909,0, 0,0,0,0,0
910,0, 0,0,0,0,0
911,0, 0,0,0,0,0
912,0, 0,0,0,0,0
913,0, 0,0,0,0,0
914,0, 0,0,0,0,0
915,0, 0,0,0,0,0
916,0, 0,0,0,0,0
917,0, 0,0,0,0,0
918,0, 0,0,0,0,0
919,11393, 501,0,0,6573,4319
920,11707, 641,0,0,6736,4330
921,11767, 772,0,0,6655,4340
922,11783, 813,0,0,6704,4266
923,11639, 763,0,0,6583,4293
924,11870, 760,0,0,6837,4273
925,11938, 746,0,0,6715,4477
926,12090, 793,0,0,6838,4459
927,12146, 860,0,0,6772,4514
928,11830, 739,0,0,6655,4436
929,11845, 692,0,0,6744,4409
930,11688, 640,0,0,6725,4323
931,11595, 587,0,0,6605,4403
932,11543, 563,0,0,6757,4223
933,11610, 556,0,0,6674,4380
934,11491, 514,0,0,6740,4237
935,11429, 444,0,0,6658,4327
936,11408, 397,0,0,6696,4315
937,11417, 397,0,0,6701,4319
938,11252, 377,0,0,6638,4237
939,11360, 371,0,0,6677,4312
940,11293, 373,0,0,6580,4340
941,11318, 410,0,0,6606,4302
942,11270, 451,0,0,6593,4226
943,11355, 516,0,0,6581,4258
944,11667, 653,0,0,6608,4406
945,11742, 770,0,0,6641,4331
946,11984, 786,0,0,6778,4420
947,11777, 754,0,0,6783,4240
948,11826, 757,0,0,6812,4257
949,11877, 819,0,0,6758,4300
950,11915, 891,0,0,6681,4343
951,12033, 900,0,0,6747,4386
952,12001, 873,0,0,6873,4255
953,11683, 713,0,0,6689,4281
954,11500, 594,0,0,6677,4229
955,11650, 613,0,0,6668,4369
956,11860, 624,0,0,6788,4448
957,11531, 552,0,0,6629,4350
958,11450, 480,0,0,6654,4316
959,11322, 474,0,0,6580,4268
960,11374, 396,0,0,6676,4302
961,11343, 422,0,0,6648,4273
962,11261, 437,0,0,6560,4264
963,11389, 412,0,0,6648,4329
964,11475, 415,0,0,6698,4362
965,11486, 446,0,0,6691,4349
966,11518, 506,0,0,6645,4367
967,11386, 566,0,0,6577,4243
968,11710, 684,0,0,6667,4359
969,11862, 797,0,0,6579,4486
970,11916, 801,0,0,6609,4506
971,11714, 768,0,0,6625,4321
972,15247, 824,0,3297,6799,4327
973,15191, 821,0,3285,6774,4311
974,15118, 765,0,3445,6602,4306
975,15646, 863,0,3453,6798,4532
976,15565, 803,0,3615,6628,4519
977,15253, 674,0,3708,6573,4298
978,15078, 603,0,3619,6559,4297
979,15327, 613,0,3679,6667,4368
980,15432, 617,0,3704,6713,4398
981,15262, 573,0,3726,6664,4299
982,15472, 511,0,3836,6713,4412
983,15523, 505,0,4038,6626,4354
984,15297, 416,0,3954,6556,4371
985,15530, 417,0,4169,6566,4378
986,15501, 407,0,4269,6556,4269
987,15690, 412,0,4321,6636,4321
988,15824, 402,0,4421,6631,4370
989,15823, 423,0,4445,6668,4287
990,15939, 478,0,4537,6626,4298
991,4769, 0,0,4769,0,0
992,4812, 0,0,4812,0,0
993,4975, 0,0,4975,0,0
994,4728, 0,0,4728,0,0
995,5151, 0,0,5151,0,0
996,4972, 0,0,4972,0,0
997,5292, 0,0,5292,0,0
998,5222, 0,0,5222,0,0
999,5360, 0,0,5360,0,0
1000,5391, 0,0,5391,0,0
1001,5591, 0,0,5591,0,0
1002,5617, 0,0,5617,0,0
1003,5461, 0,0,5461,0,0
1004,5617, 0,0,5617,0,0
1005,5663, 0,0,5663,0,0
1006,5821, 0,0,5821,0,0
1007,5762, 0,0,5762,0,0
1008,5972, 0,0,5972,0,0
1009,5972, 0,0,5972,0,0
1010,6052, 0,0,6052,0,0
1011,6112, 0,0,6112,0,0
1012,6162, 0,0,6162,0,0
1013,6258, 0,0,6258,0,0
1014,6390, 0,0,6390,0,0
1015,6382, 0,0,6382,0,0
1016,6605, 0,0,6605,0,0
1017,6687, 0,0,6687,0,0
1018,6764, 0,0,6764,0,0
1019,6864, 0,0,6864,0,0
1020,6809, 0,0,6809,0,0
1021,6994, 0,0,6994,0,0
1022,6953, 0,0,6953,0,0
1023,7029, 0,0,7029,0,0
1024,7166, 0,0,7166,0,0
1025,7345, 0,0,7345,0,0
1026,7244, 0,0,7244,0,0
1027,7404, 0,0,7404,0,0
1028,7403, 0,0,7403,0,0
1029,7628, 0,0,7628,0,0
1030,7568, 0,0,7568,0,0
1031,7720, 0,0,7720,0,0
1032,7793, 0,0,7793,0,0
1033,7809, 0,0,7809,0,0
1034,7960, 0,0,7960,0,0
1035,7962, 0,0,7962,0,0
1036,8148, 0,0,8148,0,0
1037,8177, 0,0,8177,0,0
1038,8207, 0,0,8207,0,0
1039,25189, 16793,0,8396,0,0
1040,25331, 16887,0,8444,0,0
1041,25410, 16940,0,8470,0,0
1042,25493, 16887,0,8606,0,0
1043,25536, 16904,0,8632,0,0
1044,25745, 16942,0,8803,0,0
1045,25593, 16813,0,8780,0,0
1046,25587, 16742,0,8845,0,0
1047,25748, 16804,0,8944,0,0
1048,26050, 16963,0,9087,0,0
1049,25784, 16701,0,9083,0,0
1050,25917, 16731,0,9186,0,0
1051,26011, 16692,0,9319,0,0
1052,26176, 16897,0,9279,0,0
1053,26373, 16913,0,9460,0,0
1054,26182, 16744,0,9438,0,0
1055,26317, 16786,0,9531,0,0
1056,26581, 16869,0,9712,0,0
1057,26532, 16818,0,9714,0,0
1058,26602, 16801,0,9801,0,0
1059,26789, 16809,0,9980,0,0
1060,26899, 16925,0,9974,0,0
1061,27000, 16941,0,10059,0,0
1062,27038, 16973,0,10065,0,0
1063,26913, 16686,0,10227,0,0
1064,27049, 16789,0,10260,0,0
1065,27348, 16713,0,10635,0,0
1066,27745, 17194,0,10551,0,0
1067,27500, 16739,0,10761,0,0
1068,27470, 16787,0,10683,0,0
1069,27903, 16911,0,10992,0,0
1070,27732, 16727,0,11005,0,0
1071,28520, 17360,0,11160,0,0
1072,28186, 17060,0,11126,0,0
1073,27932, 16687,0,11245,0,0
1074,27974, 16973,0,11001,0,0
1075,28083, 16850,0,11233,0,0
1076,28257, 16954,0,11303,0,0
1077,28208, 16867,0,11341,0,0
1078,28233, 16887,0,11346,0,0
1079,28530, 17073,0,11457,0,0
1080,28464, 16948,0,11516,0,0
1081,28414, 16714,0,11700,0,0
1082,28688, 16952,0,11736,0,0
1083,28901, 17027,0,11874,0,0
1084,28792, 16910,0,11882,0,0
1085,28826, 16874,0,11952,0,0
1086,29116, 17006,0,12110,0,0
1087,28995, 16817,0,12178,0,0
1088,29580, 17198,0,12382,0,0
1089,29415, 16924,0,12491,0,0
1090,29329, 17002,0,12327,0,0
1091,29392, 16682,0,12710,0,0
1092,29904, 17313,0,12591,0,0
1093,29991, 17495,0,12496,0,0
1094,30055, 17174,0,12881,0,0
1095,30291, 17309,0,12982,0,0
1096,29839, 16811,0,13028,0,0
1097,30366, 17245,0,13121,0,0
1098,29669, 16668,0,13001,0,0
1099,30364, 17162,0,13202,0,0
1100,30035, 16686,0,13349,0,0
1101,30204, 17008,0,13196,0,0
1102,30529, 17139,0,13390,0,0
1103,30149, 16848,0,13301,0,0
1104,30539, 17035,0,13504,0,0
1105,30211, 16668,0,13543,0,0
1106,30673, 16939,0,13734,0,0
1107,30717, 17019,0,13698,0,0
1108,30775, 16979,0,13796,0,0
1109,30919, 16948,0,13971,0,0
1110,30886, 16891,0,13995,0,0
1111,31162, 17213,0,13949,0,0
1112,30750, 16773,0,13977,0,0
1113,31160, 16863,0,14297,0,0
1114,31302, 16753,0,14549,0,0
1115,31347, 16879,0,14468,0,0
1116,31209, 16870,0,14339,0,0
1117,31331, 16710,0,14621,0,0
1118,31952, 17345,0,14607,0,0
1119,32295, 17532,0,14763,0,0
1120,32396, 17444,0,14952,0,0
1121,31551, 16726,0,14825,0,0
1122,31958, 17182,0,14776,0,0
1123,31715, 16729,0,14986,0,0
1124,31977, 16796,0,15181,0,0
1125,31893, 16849,0,15044,0,0
1126,32379, 17126,0,15253,0,0
1127,32407, 16990,0,15417,0,0
1128,32147, 16877,0,15270,0,0
1129,32357, 17008,0,15349,0,0
1130,32353, 16742,0,15611,0,0
1131,32484, 16810,0,15674,0,0
1132,32675, 17048,0,15627,0,0
1133,32652, 16997,0,15655,0,0
1134,32863, 17059,0,15804,0,0
1135,33033, 16971,0,16062,0,0
1136,33194, 17090,0,16104,0,0
1137,32987, 16692,0,16295,0,0
1138,33343, 17099,0,16244,0,0
1139,33396, 17069,0,16327,0,0
1140,33770, 17297,0,16473,0,0
1141,33579, 17199,0,16380,0,0
1142,33432, 16716,0,16716,0,0
1143,33578, 16789,0,16789,0,0
1144,34020, 17425,0,16595,0,0
1145,34007, 17365,0,16642,0,0
1146,33368, 16684,0,16684,0,0
1147,33458, 16729,0,16729,0,0
1148,33814, 16907,0,16907,0,0
1149,35798, 18870,0,16928,0,0
1150,35488, 18401,0,17087,0,0
1151,35266, 18085,0,17181,0,0
1152,35601, 18360,0,17241,0,0
1153,35338, 17983,0,17355,0,0
1154,35651, 18271,0,17380,0,0
1155,35960, 18600,0,17360,0,0
1156,36196, 18615,0,17581,0,0
1157,35851, 18277,0,17574,0,0
1158,36116, 18299,0,17817,0,0
1159,19228, 1261,0,17967,0,0
1160,19324, 1380,0,17944,0,0
1161,19409, 1553,0,17856,0,0
1162,19647, 1511,0,18136,0,0
1163,19534, 1447,0,18087,0,0
1164,19562, 1449,0,18113,0,0
1165,19763, 1581,0,18182,0,0
1166,20138, 1714,0,18424,0,0
1167,20283, 1623,0,18660,0,0
1168,20099, 1462,0,18637,0,0
1169,19750, 1274,0,18476,0,0
1170,20083, 1296,0,18787,0,0
1171,20629, 1743,0,18886,0,0
1172,20576, 1764,0,18812,0,0
1173,18796, 0,0,18796,0,0
1174,18974, 0,0,18974,0,0
1175,18939, 0,0,18939,0,0
1176,19123, 0,0,19123,0,0
1177,19223, 0,0,19223,0,0
1178,19271, 0,0,19271,0,0
1179,19315, 0,0,19315,0,0
1180,19398, 0,0,19398,0,0
1181,19514, 0,0,19514,0,0
1182,19478, 0,0,19478,0,0
1183,19695, 0,0,19695,0,0
1184,19726, 0,0,19726,0,0
1185,19826, 0,0,19826,0,0
1186,19940, 0,0,19940,0,0
1187,20005, 0,0,20005,0,0
1188,20152, 0,0,20152,0,0
1189,20110, 0,0,20110,0,0
1190,20229, 0,0,20229,0,0
1191,20365, 0,0,20365,0,0
1192,20339, 0,0,20339,0,0
1193,20472, 0,0,20472,0,0
1194,20448, 0,0,20448,0,0
1195,20556, 0,0,20556,0,0
1196,20596, 0,0,20596,0,0
1197,20732, 0,0,20732,0,0
1198,20855, 0,0,20855,0,0
1199,20825, 0,0,20825,0,0
1200,20948, 0,0,20948,0,0
1201,20961, 0,0,20961,0,0
1202,21101, 0,0,21101,0,0
1203,21180, 0,0,21180,0,0
1204,21319, 0,0,21319,0,0
1205,21333, 0,0,21333,0,0
1206,21473, 0,0,21473,0,0
1207,21540, 0,0,21540,0,0
1208,21574, 0,0,21574,0,0
1209,21694, 0,0,21694,0,0
1210,21676, 0,0,21676,0,0
1211,21770, 0,0,21770,0,0
1212,21896, 0,0,21896,0,0
1213,0, 0,0,0,0,0
1214,0, 0,0,0,0,0
1215,0, 0,0,0,0,0
1216,0, 0,0,0,0,0
1217,0, 0,0,0,0,0
1218,0, 0,0,0,0,0
1219,0, 0,0,0,0,0
1220,0, 0,0,0,0,0
1221,0, 0,0,0,0,0
1222,0, 0,0,0,0,0
1223,0, 0,0,0,0,0
1224,0, 0,0,0,0,0
1225,0, 0,0,0,0,0
1226,0, 0,0,0,0,0
1227,0, 0,0,0,0,0
1228,0, 0,0,0,0,0
1229,0, 0,0,0,0,0
1230,0, 0,0,0,0,0
1231,0, 0,0,0,0,0
1232,0, 0,0,0,0,0
1233,0, 0,0,0,0,0
1234,0, 0,0,0,0,0
1235,0, 0,0,0,0,0
1236,0, 0,0,0,0,0
1237,0, 0,0,0,0,0
1238,0, 0,0,0,0,0
1239,0, 0,0,0,0,0
1240,0, 0,0,0,0,0
1241,0, 0,0,0,0,0
1242,0, 0,0,0,0,0
1243,0, 0,0,0,0,0
1244,0, 0,0,0,0,0
1245,0, 0,0,0,0,0
1246,0, 0,0,0,0,0
1247,0, 0,0,0,0,0
1248,0, 0,0,0,0,0
1249,0, 0,0,0,0,0
1250,0, 0,0,0,0,0
1251,0, 0,0,0,0,0
1252,0, 0,0,0,0,0
1253,0, 0,0,0,0,0
1254,0, 0,0,0,0,0
1255,0, 0,0,0,0,0
1256,0, 0,0,0,0,0
1257,0, 0,0,0,0,0
1258,0, 0,0,0,0,0
1259,0, 0,0,0,0,0
1260,0, 0,0,0,0,0
1261,0, 0,0,0,0,0
1262,0, 0,0,0,0,0
1263,0, 0,0,0,0,0
1264,0, 0,0,0,0,0
1265,0, 0,0,0,0,0
1266,0, 0,0,0,0,0
1267,0, 0,0,0,0,0
1268,0, 0,0,0,0,0
1269,0, 0,0,0,0,0
1270,0, 0,0,0,0,0
1271,0, 0,0,0,0,0
1272,0, 0,0,0,0,0
1273,10185, 0,0,0,10185,0
1274,10213, 0,0,0,10213,0
1275,10139, 0,0,0,10139,0
1276,10256, 0,0,0,10256,0
1277,10234, 0,0,0,10234,0
1278,10222, 0,0,0,10222,0
1279,10192, 0,0,0,10192,0
1280,10138, 0,0,0,10138,0
1281,10147, 0,0,0,10147,0
1282,10331, 0,0,0,10331,0
1283,10127, 0,0,0,10127,0
1284,10276, 0,0,0,10276,0
1285,10256, 0,0,0,10256,0
1286,10365, 0,0,0,10365,0
1287,10294, 0,0,0,10294,0
1288,10126, 0,0,0,10126,0
1289,10226, 0,0,0,10226,0
1290,10200, 0,0,0,10200,0
1291,10309, 0,0,0,10309,0
1292,10336, 0,0,0,10336,0
1293,10174, 0,0,0,10174,0
1294,10140, 0,0,0,10140,0
1295,10162, 0,0,0,10162,0
1296,10235, 0,0,0,10235,0
1297,10134, 0,0,0,10134,0
1298,10190, 0,0,0,10190,0
1299,10267, 0,0,0,10267,0
1300,10258, 0,0,0,10258,0
1301,10187, 0,0,0,10187,0
1302,10199, 0,0,0,10199,0
1303,10258, 0,0,0,10258,0
1304,10230, 0,0,0,10230,0
1305,10273, 0,0,0,10273,0
1306,10379, 0,0,0,10379,0
1307,10248, 0,0,0,10248,0
1308,10323, 0,0,0,10323,0
1309,10346, 0,0,0,10346,0
1310,10228, 0,0,0,10228,0
1311,10173, 0,0,0,10173,0
1312,10248, 0,0,0,10248,0
1313,10324, 0,0,0,10324,0
1314,10140, 0,0,0,10140,0
1315,10164, 0,0,0,10164,0
1316,10233, 0,0,0,10233,0
1317,10228, 0,0,0,10228,0
1318,10201, 0,0,0,10201,0
1319,10135, 0,0,0,10135,0
1320,10204, 0,0,0,10204,0
1321,10255, 0,0,0,10255,0
1322,10140, 0,0,0,10140,0
1323,10158, 0,0,0,10158,0
1324,10231, 0,0,0,10231,0
1325,10148, 0,0,0,10148,0
1326,10157, 0,0,0,10157,0
1327,10307, 0,0,0,10307,0
1328,10335, 0,0,0,10335,0
1329,10306, 0,0,0,10306,0
1330,10178, 0,0,0,10178,0
1331,10318, 0,0,0,10318,0
1332,10221, 0,0,0,10221,0
1333,10372, 0,0,0,10372,0
1334,10132, 0,0,0,10132,0
1335,10336, 0,0,0,10336,0
1336,10207, 0,0,0,10207,0
1337,10271, 0,0,0,10271,0
1338,10162, 0,0,0,10162,0
1339,10274, 0,0,0,10274,0
1340,10260, 0,0,0,10260,0
1341,10166, 0,0,0,10166,0
1342,10191, 0,0,0,10191,0
1343,10148, 0,0,0,10148,0
1344,10193, 0,0,0,10193,0
1345,10180, 0,0,0,10180,0
1346,10206, 0,0,0,10206,0
1347,10182, 0,0,0,10182,0
1348,10154, 0,0,0,10154,0
1349,10133, 0,0,0,10133,0
1350,10140, 0,0,0,10140,0
1351,10169, 0,0,0,10169,0
1352,10160, 0,0,0,10160,0
1353,10128, 0,0,0,10128,0
1354,10204, 0,0,0,10204,0
1355,10168, 0,0,0,10168,0
1356,10165, 0,0,0,10165,0
1357,10210, 0,0,0,10210,0
1358,10223, 0,0,0,10223,0
1359,10150, 0,0,0,10150,0
1360,10181, 0,0,0,10181,0
1361,10174, 0,0,0,10174,0
1362,10157, 0,0,0,10157,0
1363,10209, 0,0,0,10209,0
1364,10191, 0,0,0,10191,0
1365,10190, 0,0,0,10190,0
1366,10179, 0,0,0,10179,0
1367,10213, 0,0,0,10213,0
1368,10171, 0,0,0,10171,0
1369,10156, 0,0,0,10156,0
1370,10125, 0,0,0,10125,0
1371,10156, 0,0,0,10156,0
1372,10123, 0,0,0,10123,0
1373,10142, 0,0,0,10142,0
1374,10133, 0,0,0,10133,0
1375,10122, 0,0,0,10122,0
1376,10170, 0,0,0,10170,0
1377,19551, 0,0,0,10196,9355
1378,19506, 0,0,0,10126,9380
1379,19590, 0,0,0,10182,9408
1380,19536, 0,0,0,10233,9303
1381,19477, 0,0,0,10142,9335
1382,19507, 0,0,0,10149,9358
1383,19548, 0,0,0,10150,9398
1384,19497, 0,0,0,10144,9353
1385,19586, 0,0,0,10230,9356
1386,19532, 0,0,0,10207,9325
1387,19535, 0,0,0,10203,9332
1388,19551, 0,0,0,10185,9366
1389,19612, 0,0,0,10203,9409
1390,19551, 0,0,0,10158,9393
1391,19516, 0,0,0,10208,9308
1392,19500, 0,0,0,10127,9373
1393,19543, 0,0,0,10129,9414
1394,19586, 0,0,0,10235,9351
1395,19581, 0,0,0,10182,9399
1396,19661, 0,0,0,10229,9432
1397,19640, 0,0,0,10201,9439
1398,19586, 0,0,0,10242,9344
1399,19736, 0,0,0,10297,9439
1400,19552, 0,0,0,10167,9385
1401,19805, 0,0,0,10333,9472
1402,19833, 0,0,0,10324,9509
1403,19653, 0,0,0,10344,9309
1404,19496, 0,0,0,10160,9336
1405,19790, 0,0,0,10204,9586
1406,19678, 0,0,0,10293,9385
1407,19510, 0,0,0,10179,9331
1408,19558, 0,0,0,10150,9408
1409,19509, 0,0,0,10188,9321
1410,19679, 0,0,0,10267,9412
1411,19453, 0,0,0,10140,9313
1412,19749, 0,0,0,10262,9487
1413,19478, 0,0,0,10121,9357
1414,19651, 0,0,0,10225,9426
1415,19577, 0,0,0,10141,9436
1416,19661, 0,0,0,10240,9421
1417,19617, 0,0,0,10172,9445
1418,19540, 0,0,0,10132,9408
1419,19598, 0,0,0,10251,9347
1420,19525, 0,0,0,10166,9359
1421,19603, 0,0,0,10243,9360
1422,19575, 0,0,0,10272,9303
1423,19761, 0,0,0,10351,9410
1424,19723, 0,0,0,10278,9445
1425,19651, 0,0,0,10253,9398
1426,19475, 0,0,0,10149,9326
1427,19479, 0,0,0,10163,9316
1428,19832, 0,0,0,10226,9606
1429,19804, 0,0,0,10202,9602
1430,19660, 0,0,0,10147,9513
1431,19727, 0,0,0,10319,9408
1432,19623, 0,0,0,10194,9429
1433,19619, 0,0,0,10156,9463
1434,19597, 0,0,0,10129,9468
1435,19554, 0,0,0,10202,9352
1436,19688, 0,0,0,10238,9450
1437,19654, 0,0,0,10191,9463
1438,19685, 0,0,0,10236,9449
1439,19598, 0,0,0,10238,9360
1440,19587, 0,0,0,10146,9441
1441,19561, 0,0,0,10232,9329
1442,19556, 0,0,0,10229,9327
1443,19528, 0,0,0,10208,9320
1444,19601, 0,0,0,10253,9348
1445,19593, 0,0,0,10222,9371
1446,19755, 0,0,0,10265,9490
1447,19577, 0,0,0,10142,9435
1448,19525, 0,0,0,10164,9361
1449,19586, 0,0,0,10245,9341
1450,19580, 0,0,0,10204,9376
1451,19677, 0,0,0,10370,9307
1452,19644, 0,0,0,10262,9382
1453,19637, 0,0,0,10125,9512
1454,19840, 0,0,0,10378,9462
1455,19687, 0,0,0,10312,9375
1456,19485, 0,0,0,10122,9363
1457,19665, 0,0,0,10164,9501
1458,19681, 0,0,0,10172,9509
1459,19797, 0,0,0,10320,9477
1460,19728, 0,0,0,10275,9453
1461,19593, 0,0,0,10173,9420
1462,19508, 0,0,0,10157,9351
1463,10128, 0,0,0,10128,0
1464,10209, 0,0,0,10209,0
1465,10218, 0,0,0,10218,0
1466,10183, 0,0,0,10183,0
1467,10227, 0,0,0,10227,0
1468,10223, 0,0,0,10223,0
1469,10167, 0,0,0,10167,0
1470,10143, 0,0,0,10143,0
1471,10122, 0,0,0,10122,0
1472,10249, 0,0,0,10249,0
1473,10216, 0,0,0,10216,0
1474,10322, 0,0,0,10322,0
1475,10338, 0,0,0,10338,0
1476,10302, 0,0,0,10302,0
1477,10396, 0,0,0,10396,0
1478,10231, 0,0,0,10231,0
1479,10141, 0,0,0,10141,0
1480,10247, 0,0,0,10247,0
1481,10179, 0,0,0,10179,0
1482,10174, 0,0,0,10174,0
1483,10200, 0,0,0,10200,0
1484,10147, 0,0,0,10147,0
1485,10232, 0,0,0,10232,0
1486,10224, 0,0,0,10224,0
1487,10224, 0,0,0,10224,0
